County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
31111,0,8,0.022913444,Lincoln,NE,8.42069084,0,50,62.5
31113,0,0,0,Logan,NE,0,100,100,100
31115,0,0,0,Loup,NE,0,100,100,100
31117,0,5,1.012145749,McPherson,NE,84.81781377,0,0,0
31119,0,72,0.205134049,Madison,NE,104.7209322,0,43.05555556,76.38888889
31121,0,6,0.077369439,Merrick,NE,15.28046422,0,0,33.33333333
31123,0,4,0.086169754,Morrill,NE,36.36363636,0,100,100
31125,0,2,0.056834328,Nance,NE,4.688832055,0,0,0
31127,0,0,0,Nemaha,NE,0,100,100,100
31129,0,0,0,Nuckolls,NE,0,100,100,100
31131,0,1,0.006245316,Otoe,NE,1.428303772,0,0,0
31133,0,0,0,Pawnee,NE,0,100,100,100
31135,0,0,0,Perkins,NE,0,100,100,100
31137,0,5,0.055346469,Phelps,NE,6.785477087,0,0,0
31139,0,1,0.013989927,Pierce,NE,0.320369334,0,0,0
31141,36,149,0.445174783,Platte,NE,133.2853301,24.16107383,53.69127517,67.7852349
31143,0,2,0.038365624,Polk,NE,7.320161136,0,0,50
31145,0,2,0.018649758,Red Willow,NE,4.425587467,0,0,50
31147,0,0,0,Richardson,NE,0,100,100,100
31149,0,0,0,Rock,NE,0,100,100,100
31151,64,118,0.829583802,Saline,NE,495.9251969,54.23728814,54.23728814,55.08474576
31153,0,71,0.037928161,Sarpy,NE,3.682824419,0,7.042253521,23.94366197
31155,0,1,0.00463435,Saunders,NE,0.196496432,0,0,0
31157,0,9,0.025268123,Scotts Bluff,NE,14.33965972,0,22.22222222,66.66666667
31159,0,5,0.028928489,Seward,NE,1.353853275,0,0,60
31161,0,0,0,Sheridan,NE,0,100,100,100
31163,0,1,0.033322226,Sherman,NE,2.462512496,0,0,0
31165,0,0,0,Sioux,NE,0,100,100,100
31167,0,3,0.050675676,Stanton,NE,2.888513514,0,0,66.66666667
31169,0,0,0,Thayer,NE,0,100,100,100
31171,0,1,0.138504155,Thomas,NE,0.484764543,0,0,0
31173,0,6,0.083056478,Thurston,NE,73.63787375,0,66.66666667,100
31175,0,0,0,Valley,NE,0,100,100,100
31177,0,1,0.004824159,Washington,NE,0.182835641,0,0,0
31179,0,1,0.010655301,Wayne,NE,0.902503996,0,0,100
31181,0,1,0.028677947,Webster,NE,3.131631775,0,0,0
31183,0,0,0,Wheeler,NE,0,100,100,100
31185,0,8,0.058483807,York,NE,10.69083997,0,0,62.5
32001,0,0,0,Churchill,NV,0,100,100,100
32003,421,421,0.018573133,Clark,NV,13.75154794,100,100,100
32005,3,3,0.006134342,Douglas,NV,1.099887537,100,100,100
32007,2,2,0.003789458,Elko,NV,1.962181212,100,100,100
32009,0,0,0,Esmeralda,NV,0,100,100,100
32011,0,0,0,Eureka,NV,0,100,100,100
32013,14,14,0.083179847,Humboldt,NV,48.81825203,100,100,100
32015,7,7,0.126536515,Lander,NV,104.5318149,100,100,100
32017,1,1,0.019293845,Lincoln,NV,8.128497009,100,100,100
32019,9,9,0.015649452,Lyon,NV,9.050078247,100,100,100
32021,1,1,0.022197558,Mineral,NV,19.56714761,100,100,100
32023,5,5,0.010747372,Nye,NV,7.85525439,100,100,100
32027,0,0,0,Pershing,NV,0,100,100,100
32029,0,0,0,Storey,NV,0,100,100,100
32031,119,119,0.025237583,Washoe,NV,13.30273011,100,100,100
32033,0,0,0,White Pine,NV,0,100,100,100
32510,7,7,0.012518778,Carson City,NV,10.56960441,100,100,100
33001,6,6,0.009787449,Belknap,NH,0.82312448,100,100,100
33003,3,3,0.006133715,Carroll,NH,0.357595584,100,100,100
33005,2,2,0.002628639,Cheshire,NH,0.372478149,100,100,100
33007,0,0,0,Coos,NH,0,100,100,100
33009,5,5,0.005562602,Grafton,NH,1.046881606,100,100,100
33011,228,284,0.068101433,Hillsborough,NH,13.0141838,80.28169014,100,100
33013,36,45,0.029724356,Merrimack,NH,4.324893818,80,100,100
33015,99,142,0.04584061,Rockingham,NH,0.508830774,69.71830986,100,100
33017,27,30,0.022965101,Strafford,NH,4.014299603,90,100,100
33019,2,2,0.004635424,Sullivan,NH,0.701339638,100,100,100
34001,97,330,0.125156446,Atlantic,NJ,99.01126408,29.39393939,44.54545455,61.21212121
